Session ID	案例总数	PMID	年份	案例详情
000fc8b5-6085-4dcb-b140-b37e8928774e	1	37171738	2024	[{"case_id":"1","case_type":"animal","metal_type":"铅","metal_compound":"Pb","species":"日本鹌鹑","exposure_route":["饮食"],"exposure_dose":{"value":100,"unit":"mg/kg"},"is_fatal":false,"study_design":"360只成年日本鹌鹑（8周龄）随机分为六组，每组4个重复：对照组（基础饮食），YSE1和YSE2组（分别添加100和200 mg/kg饮食的YSE），Pb组（添加100 mg/kg Pb的基础饮食），以及Pb+YSE1和Pb+YSE2组（分别添加100和200 mg/kg YSE的基础饮食+Pb）。实验持续8周。"}]
00ba143c-2d12-46a7-9c47-b23175084a97	1	32565496	2020	[{"case_id":"case_1","case_type":"animal","metal_type":"铅","metal_compound":"Pb","species":"Black-headed gull (Chroicocephalus ridibundus)","exposure_route":["环境暴露"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"研究旨在确定低水平铅积累是否会导致黑头鸥的免疫抑制。黑头鸥在东京湾和三河湾被捕获，血液样本被分析了八项指标，数据被用来评估铅浓度与每个海湾变量之间的相关性。"}]
00cde256-834a-4d92-b596-c6e3d65c637a	2	39489322	2024	[{"case_id":"case_001","case_type":"cell","metal_type":"铅","metal_compound":"Pb","species":"人类","exposure_route":["体外暴露"],"exposure_dose":{"value":10,"unit":"天"},"is_fatal":false,"study_design":"使用人类皮质类器官研究铅暴露对早期神经发育的毒性"},{"case_id":"case_002","case_type":"animal","metal_type":"铅","metal_compound":"Pb","species":"小鼠","exposure_route":["妊娠期暴露"],"exposure_dose":{},"is_fatal":false,"study_design":"研究妊娠期铅暴露对小鼠神经元分化和神经发生的影响"}]
00e6e4f3-5243-4d0a-856a-7d8c017ce744	1	32861022	2020	[{"case_id":"case_0001","case_type":"animal","metal_type":"铅","metal_compound":"Pb","species":"斑马鱼（Danio rerio）","exposure_route":["水环境暴露"],"exposure_dose":{"value":"平均3 μg/L，最大94 μg/L","unit":"μg/L"},"is_fatal":false,"study_design":"评估环境相关铅水平对斑马鱼幼虫的氧化应激和神经行为改变，暴露时间为30分钟"}]
00b95ab8-7c31-4af2-b988-928179632a61	1	30708224	2019	[{"case_id":"case_1","case_type":"animal","metal_type":"砷","metal_compound":"arsenite/arsenate","species":"Daphnia magna","exposure_route":["water"],"exposure_dose":{"value":0.2,"unit":"mg/L"},"is_fatal":false,"study_design":"21-day two-generational chronic toxicity study with co-exposure to titanium dioxide nanoparticles (nano-TiO2) at 1 mg/L"}]
00ee0e94-ee40-4cdb-bec1-e8a9406f2c57	1	33172159	2020	[{"case_id":"case_1","case_type":"cell","metal_type":"铅","metal_compound":"Pb","species":"A549","exposure_route":["暴露"],"exposure_dose":{"value":50,"unit":"µg/mL"},"is_fatal":false,"study_design":"研究设计探索了单壁碳纳米管（SWCNTs）和铅（Pb）在人类肺上皮（A549）细胞中的联合毒性效应。SWCNTs在100 µg/mL浓度下安全，而Pb在5-100 µg/mL浓度下诱导剂量依赖性细胞毒性。SWCNTs（10 µg/mL，24小时）的共暴露有效减轻了Pb诱导的细胞毒性、细胞周期阻滞、线粒体膜电位耗竭、脂质过氧化以及caspase-3和-9酶的诱导。此外，SWCNTs的共暴露还减轻了Pb诱导的促氧化剂（活性氧和过氧化氢）的产生和抗氧化剂（抗氧化酶和谷胱甘肽）的减少。"}]
00f1bd27-c144-4a2c-8a9e-bbbef448faa0	3			[{"case_id":"case_1","case_type":"animal","metal_type":"汞","metal_compound":"甲基汞","species":"Tyto alba（仓鸮）","exposure_route":["食物链生物放大"],"exposure_dose":{"value":170,"unit":"µg kg(-1)"},"is_fatal":false,"study_design":"研究了三个营养级的食物链中的汞（Hg）积累和生物放大：1）土壤和苔藓（大气沉积指示器），2）从反刍的球状物中取出的小型哺乳动物的毛（草食性和杂食性动物），以及3）仓鸮的羽毛（顶级捕食者）。"},{"case_id":"case_2","case_type":"animal","metal_type":"汞","metal_compound":"甲基汞","species":"小型哺乳动物（草食性和杂食性动物）","exposure_route":["食物链生物积累"],"exposure_dose":{"value":150,"unit":"µg kg(-1)"},"is_fatal":false,"study_design":"研究了三个营养级的食物链中的汞（Hg）积累和生物放大：1）土壤和苔藓（大气沉积指示器），2）从反刍的球状物中取出的小型哺乳动物的毛（草食性和杂食性动物），以及3）仓鸮的羽毛（顶级捕食者）。"},{"case_id":"case_3","case_type":"animal","metal_type":"汞","metal_compound":"总汞","species":"土壤生物","exposure_route":["大气沉积"],"exposure_dose":{"value":63,"unit":"µg kg(-1)"},"is_fatal":false,"study_design":"研究了三个营养级的食物链中的汞（Hg）积累和生物放大：1）土壤和苔藓（大气沉积指示器），2）从反刍的球状物中取出的小型哺乳动物的毛（草食性和杂食性动物），以及3）仓鸮的羽毛（顶级捕食者）。"}]
00f4da74-5161-4ed8-aef2-adc8943c24ba	1	35060531	2022	[{"case_id":"case_1","case_type":"human","metal_type":"Chromium","metal_compound":"51Cr-EDTA","species":"Humans","exposure_route":["blood"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"The study evaluated 8 different fitting procedures to calculate the area under the curve and from this area under the curve, the GFR in 20 children diagnosed with Duchenne muscular dystrophy."}]
0a02a1a8-cc3a-47cb-834e-5de22540ef01	2	31492091	2019	[{"case_id":"case_1","case_type":"animal","metal_type":"铅","metal_compound":"未指定","species":"大鼠","exposure_route":["口服"],"exposure_dose":{"value":160,"unit":"ppm"},"is_fatal":false,"study_design":"研究设计了七个组：对照组、TQ组、DMSO组、两个铅处理组（160和320ppm），以及两个铅处理组（160和320ppm）与TQ共同处理。从妊娠第1天（GD1）至第20天（GD20）通过口服胃管每日一次给药。铅处理导致母亲和胎儿的剂量依赖性毒性。"},{"case_id":"case_2","case_type":"animal","metal_type":"铅","metal_compound":"未指定","species":"大鼠","exposure_route":["口服"],"exposure_dose":{"value":320,"unit":"ppm"},"is_fatal":false,"study_design":"研究设计了七个组：对照组、TQ组、DMSO组、两个铅处理组（160和320ppm），以及两个铅处理组（160和320ppm）与TQ共同处理。从妊娠第1天（GD1）至第20天（GD20）通过口服胃管每日一次给药。铅处理导致母亲和胎儿的剂量依赖性毒性。"}]
0a5ee612-7d2f-4f46-93c3-56cdff3988fa	1	32033229	2020	[{"case_id":"1","case_type":"human","metal_type":"砷","metal_compound":"无机砷(III)和有机砷","species":"人类","exposure_route":["饮食","饮用水"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"文献综述"}]
001ab44b-c152-41a4-bc1a-7da7da80e1f2	1	32077013	2020	[{"case_id":"case_1","case_type":"cell","metal_type":"砷","metal_compound":"Inorganic Arsenic [iAs, As(III) + As(V)]","species":"Caco-2","exposure_route":["exposure to As(III)"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"评估乳酸菌对肠道上皮细胞的保护作用，以抵御无机砷的毒性效应。"}]
0022c5d4-4f34-43de-9bd9-1826fdc0d496	1	37839473	2024	[{"case_id":"1","case_type":"cell","metal_type":"铜","metal_compound":"Cu","species":"鸡","exposure_route":["暴露途径未明确说明"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"研究了铜诱导的鸡肝细胞凋亡，发现mitomiR-1736-3p通过靶向AATF参与铜诱导的鸡肝损伤。"}]
002497f9-3534-419f-8f40-7a2025806889	1	36425055	2022	[{"case_id":"case_001","case_type":"animal","metal_type":"镉","metal_compound":"CdCl2","species":"Drosophila melanogaster","exposure_route":["oral"],"exposure_dose":{"value":"不同浓度","unit":"未提供具体数值"},"is_fatal":false,"study_design":"使用果蝇（Drosophila melanogaster）作为模型，研究了Ackee叶片和假种皮甲醇提取物对CdCl2诱导的氧化应激生物标志物的影响。果蝇口服暴露于不同浓度的CdCl2饮食中7天，并随后分析了果蝇的生存状况和负重力行为。"}]
003f778d-b8e5-4173-8a13-202ccbc7554b	1	32422488	2020	[{"case_id":"case_001","case_type":"animal","metal_type":"汞","metal_compound":"无机汞","species":"尼罗罗非鱼(Oreochromis niloticus)","exposure_route":["饮食暴露"],"exposure_dose":{"value":50,"unit":"ppm"},"is_fatal":false,"study_design":"评估无机汞对尼罗罗非鱼健康指标、生长和疾病抵抗力的影响，以及不同饲料添加剂对缓解汞负面影响的效率。"}]
006c9d94-f3de-42d9-bc6d-4c104581404c	0			无案例
007989fc-e628-44ef-851c-33a542b8680a	2	39002236	2024	[{"case_id":"1","case_type":"cell","metal_type":"砷","metal_compound":"arsenic","species":"癌细胞","exposure_route":["局部热疗协同化疗"],"exposure_dose":{"value":"0.5","unit":"w/cm(2)"},"is_fatal":true,"study_design":"在镍钛合金上原位构建聚吡咯包覆的砷负载层状双氢氧化物薄膜，通过近红外光热转换能力提高样本表面温度至约51°C，加速砷药物释放，实现肿瘤细胞的有效杀伤。"},{"case_id":"2","case_type":"animal","metal_type":"砷","metal_compound":"arsenic","species":"小鼠","exposure_route":["局部热疗协同化疗"],"exposure_dose":{"value":"0.5","unit":"w/cm(2)"},"is_fatal":true,"study_design":"在镍钛合金上原位构建聚吡咯包覆的砷负载层状双氢氧化物薄膜，通过近红外光热转换能力提高样本表面温度至约51°C，加速砷药物释放，实现肿瘤细胞的有效杀伤。"}]
00804049-6980-4218-87e9-33e3af439e65	1	37258240	2023	[{"case_id":"case_1","case_type":"cell","metal_type":"汞","metal_compound":"methylmercury","species":"mouse","exposure_route":["未明确指出"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"研究了蛋白酶体抑制剂MG132对甲基汞毒性的影响，并检验了MG132和甲基汞共同处理对p62基因敲除小鼠胚胎成纤维细胞（MEFs）的毒性，通过分析细胞活性、免疫印迹、mRNA水平、免疫荧光和汞含量。"}]
00908fcd-dc0a-4ecb-9c06-6e4955e022d6	1	31951899	2020	[{"case_id":"1","case_type":"cell","metal_type":"铬","metal_compound":"Cr(VI)","species":"L02 hepatocytes","exposure_route":["细胞暴露"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"研究探讨了Cr(VI)对L02肝细胞增殖和凋亡的影响，以及miR-21-5p和PDCD4在这一过程中的作用。"}]
011a6164-71f2-4f5f-a188-8b5213917afc	0			无案例
0125aa80-2eca-4441-9167-58565a750c59	0	37000134	2023	无案例
012add43-4d48-4571-8416-47f35ee04022	1			[{"case_id":"case_1","case_type":"human","metal_type":"铅","metal_compound":"lead","species":"人","exposure_route":["oil extraction activities"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"使用两阶段分层随机选择策略从39个社区中选择参与者，通过结构化问卷收集风险因素信息，并采集血样。"}]
01404730-919e-4308-a40a-42ef3690a2bc	1			[{"case_id":"case_0001","case_type":"human","metal_type":"铅","metal_compound":"铅","species":"人","exposure_route":["职业暴露"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"比较尼日利亚北部电池回收工人与对照组的血铅水平"}]
01656d20-0cc3-49c4-bf38-8c115eef6b74	1	38876379	2024	[{"case_id":"case_001","case_type":"animal","metal_type":"铅","metal_compound":"Lead (Pb)","species":"小鼠","exposure_route":["环境暴露"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"研究Isochlorogenic acid A (ICAA)对铅诱导的小鼠焦虑行为的神经保护效果，通过抑制铁死亡介导的神经炎症和激活BDNF/Nrf2/GPx4途径。"}]
016c5b8a-cf03-4ce6-b358-a6bbc94e7e8f	1	36074021	2022	[{"case_id":"case_001","case_type":"human","metal_type":"铅","metal_compound":"lead","species":"人类","exposure_route":["枪伤"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"系统综述"}]
0172cf00-6335-4242-90f1-3b8de19e1d1b	0	36075508	2022	无案例
01778b8d-0370-4fe8-949a-b26aaca0cc8c	3			[{"case_id":"case_1","case_type":"plant","metal_type":"铅","metal_compound":"lead","species":"菠菜","exposure_route":["土壤污染"],"exposure_dose":{"value":100,"unit":"mg/kg"},"is_fatal":false,"study_design":"在不同污染水平的土壤中施加不同等级的pressmud（0, 2.5, 5, 10 g/kg），研究菠菜作物中的金属动态"},{"case_id":"case_2","case_type":"plant","metal_type":"铅","metal_compound":"lead","species":"菠菜","exposure_route":["土壤污染"],"exposure_dose":{"value":150,"unit":"mg/kg"},"is_fatal":false,"study_design":"在不同污染水平的土壤中施加不同等级的pressmud（0, 2.5, 5, 10 g/kg），研究菠菜作物中的金属动态"},{"case_id":"case_3","case_type":"plant","metal_type":"铅","metal_compound":"lead","species":"菠菜","exposure_route":["土壤污染"],"exposure_dose":{"value":300,"unit":"mg/kg"},"is_fatal":false,"study_design":"在不同污染水平的土壤中施加不同等级的pressmud（0, 2.5, 5, 10 g/kg），研究菠菜作物中的金属动态"}]
01f4ffc2-589c-4a67-932a-2d875c0b18b0	4	38542366	2024	[{"case_id":"1","case_type":"human","metal_type":"arsenic","metal_compound":"未提供具体化合物","species":"人类","exposure_route":["环境污染物"],"exposure_dose":{"value":"未提供","unit":"未提供"},"is_fatal":false,"study_design":"研究人类暴露于多种有毒金属物种（砷、镉、汞和铅）与环境疾病之间的联系"},{"case_id":"2","case_type":"human","metal_type":"cadmium","metal_compound":"未提供具体化合物","species":"人类","exposure_route":["环境污染物"],"exposure_dose":{"value":"未提供","unit":"未提供"},"is_fatal":false,"study_design":"研究人类暴露于多种有毒金属物种（砷、镉、汞和铅）与环境疾病之间的联系"},{"case_id":"3","case_type":"human","metal_type":"mercury","metal_compound":"未提供具体化合物","species":"人类","exposure_route":["环境污染物"],"exposure_dose":{"value":"未提供","unit":"未提供"},"is_fatal":false,"study_design":"研究人类暴露于多种有毒金属物种（砷、镉、汞和铅）与环境疾病之间的联系"},{"case_id":"4","case_type":"human","metal_type":"lead","metal_compound":"未提供具体化合物","species":"人类","exposure_route":["环境污染物"],"exposure_dose":{"value":"未提供","unit":"未提供"},"is_fatal":false,"study_design":"研究人类暴露于多种有毒金属物种（砷、镉、汞和铅）与环境疾病之间的联系"}]
0214b709-c693-4a93-99ca-b24d7e130ae8	1	34655963	2021	[{"case_id":"1","case_type":"animal","metal_type":"多种金属","metal_compound":"Ag, Al, As, Ba, Be, Cd, Co, Cr, Cs, Cu, Fe, Ga, Hg, Li, Mg, Mn, Ni, Pb, Se, Sr, Ti, U, V, Zn","species":"鱼类","exposure_route":["水体暴露","食物链"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供具体单位"},"is_fatal":false,"study_design":"评估大西洋雨林中24种痕量元素在水体、沉积物和16种鱼类组织（肌肉和鳃）中的积累和分布；探索鱼类组织和非生物基质中的生物积累模式；评估金属和类金属通过水和鱼类消费对人类健康的影响。"}]
0215f43d-fbf7-43a9-933c-83b402f1653b	1	39542080	2025	[{"case_id":"case_1","case_type":"animal","metal_type":"铬","metal_compound":"Cr(VI)","species":"小鼠","exposure_route":["口服"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"研究了白藜芦醇对小鼠Cr(VI)诱导的糖脂代谢紊乱的影响，并阐明了其机制。"}]
021a7871-32e8-45a7-84b8-6e9c7bde18d1	2	31108416	2019	[{"case_id":"case_1","case_type":"cell","metal_type":"铅","metal_compound":"Pb(2+)","species":"BV-2 microglial cells","exposure_route":["未明确指出"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":false,"study_design":"研究了chicoric acid对Pb(2+)诱导的BV-2微胶质细胞氧化应激和毒性的缓解作用"},{"case_id":"case_2","case_type":"animal","metal_type":"铅","metal_compound":"Pb(2+)","species":"zebrafish larvae","exposure_route":["未明确指出"],"exposure_dose":{"value":"未提供具体数值","unit":"未提供单位"},"is_fatal":true,"study_design":"研究了chicoric acid对Pb(2+)诱导的斑马鱼幼虫严重死亡和畸形的缓解作用"}]
